word	nodeType	unit
old	ADJ	ATE14
magical	ADJ	ATE14
humble	ADJ	ATE14
alive	ADJ	ATE14
good	ADJ	ATE14
magic	ADJ	ATE14
subconscious	ADJ	ATE14
subconscious	ADJ	ATE14
big	ADJ	ATE14
great	ADJ	ATE14
cutesy	ADJ	ATE14
cute	ADJ	ATE14
glad	ADJ	ATE14
funny	ADJ	ATE15
funny	ADJ	ATE15
mortal	ADJ	ATE15
hard	ADJ	ATE15
long	ADJ	ATE15
right	ADJ	ATE15
awake	ADJ	ATE15
well	ADJ	ATE15
big	ADJ	ATE15
well	ADJ	ATE15
well	ADJ	ATE15
young	ADJ	ATE15
well	ADJ	ATE15
full	ADJ	ATE15
perfect	ADJ	ATE15
eager	ADJ	ATE15
cold	ADJ	ATE15
personal	ADJ	ATE15
hot	ADJ	ATE15
good	ADJ	ATE15
more	ADJ	ATE15
full	ADJ	ATE15
dumb	ADJ	ATE15
beautiful	ADJ	ATE15
daring	ADJ	ATE15
daring	ADJ	ATE15
awesome	ADJ	ATE15
mock	ADJ	ATE15
female	ADJ	ATE15
terrible	ADJ	ATE15
normal	ADJ	ATE15
right	ADJ	ATE15
low	ADJ	ATE15
stupid	ADJ	ATE15
asleep	ADJ	ATE15
magic	ADJ	ATE15
frustrated	ADJ	ATE15
free	ADJ	ATE15
very	ADJ	ATE15
hardcore	ADJ	ATE15
fat	ADJ	ATE15
fat	ADJ	ATE15
fat	ADJ	ATE15
fat	ADJ	ATE15
little	ADJ	ATE15
melty	ADJ	ATE15
melty	ADJ	ATE15
beautiful	ADJ	ATE15
great	ADJ	ATE15
lucky	ADJ	ATE15
functional	ADJ	ATE15
semi	ADJ	ATE15
-	ADJ	ATE15
loyal	ADJ	ATE15
innocent	ADJ	ATE15
functional	ADJ	ATE15
right	ADJ	ATE15
different	ADJ	ATE15
deep	ADJ	ATE15
troubled	ADJ	ATE15
sudden	ADJ	ATE15
heavy	ADJ	ATE15
unsettling	ADJ	ATE15
about	ADJ	ATE15
full	ADJ	ATE15
small	ADJ	ATE15
private	ADJ	ATE15
more	ADJ	ATE15
crybaby	ADJ	ATE15
angry	ADJ	ATE15
full	ADJ	ATE15
beautiful	ADJ	ATE15
imaginary	ADJ	ATE15
little	ADJ	ATE15
pretty	ADJ	ATE1
full	ADJ	ATE1
